CASE,Y_proclSpeed_r,Y_proclDui_r,Y_proclRob_r,Y_proclKill_r,Y_proclProstitute_r,Y_proclRape_r,Y_proclZoo_r,Y_proclPublic_r,Y_proclPornChild_r,Y_proclPornChildDarknet_r,Y_proclChatChild_r,Y_proclGiftChild_r,Y_proclSexChild_r,Y_proclPornYp_r,Y_proclChatYp_r,Y_proclGiftYp_r,Y_proclSexYp_r
2555,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2580,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1
2585,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2596,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2597,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2614,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2621,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2636,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2637,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2654,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2658,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2661,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2691,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2769,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2789,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
2868,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2903,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2912,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2918,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2919,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2923,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2942,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2952,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2954,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2955,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2960,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2987,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2989,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
3014,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,1
3021,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3026,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3030,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0
3036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3037,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3112,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3114,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3123,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3125,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3130,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3152,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3154,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3162,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3169,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3173,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3189,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3192,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3215,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3227,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3239,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3317,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3331,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3375,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3395,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3638,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
3647,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3761,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3768,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3851,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3952,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3979,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4079,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
4086,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0
4090,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4100,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4141,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4160,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4321,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4363,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4373,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4401,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
4428,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4449,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
4493,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4597,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
